Unnamed: 0,Tweets,ID,Length,Date,Source,Likes,Retweets,User,Sentiment,Hour,Month,Day,Month_f
0,(2/2) i would hv ported to @reliancejio just stuck with @airtelindia  bcoz of having iPhone 5s in october will sure… https://t.co/MQOucCgW7d,1150417956892839941,140,2019-07-14 14:53:09,Twitter for iPhone,0,0,_NitishBhardwaj,1,14,7,14,JUL
1,"@Airtel_Presence @airtelindia 
I contradict. Airtel is getting worse everyday. Complaining for network issue from l… https://t.co/PT4715dmPL",1150417458559197184,140,2019-07-14 14:51:10,Twitter for iPhone,0,0,azharsid92,-1,14,7,14,JUL
2,"@reliancejio @oppomobileindia Dear teams
 I am regularly customer of your company but I have been face  call drop p… https://t.co/5h3kNDN4vO",1150416258908606464,140,2019-07-14 14:46:24,Twitter for Android,0,0,KUNALKUMAR19952,0,14,7,14,JUL
3,@reliancejio hii sir why don't Dr.mukesh ambani sir come into business of trains like private luxury trains,1150416244811554818,107,2019-07-14 14:46:21,Twitter for Android,0,0,vamsi_marley,0,14,7,14,JUL
4,"@JioCare Jio is undoubtedly the worst service provider with useless support people, almost 2 months gone still nobo… https://t.co/KXr3BaeEQp",1150415474808672259,140,2019-07-14 14:43:17,Twitter for iPhone,0,0,dipri2001,-1,14,7,14,JUL
5,@reliancejio @JioCare #jio very disappointed nowadays as #Jio data speed decrease and I don't know what is happenin… https://t.co/lpGOy8A2nK,1150415447457579014,140,2019-07-14 14:43:11,Twitter for Android,0,0,nafees_sana,-1,14,7,14,JUL
6,RT @reliancejio: India is all set to take another giant leap. Set your alarms and watch the #Chandrayaan2 Launch LIVE only on @OfficialJioT…,1150415417728368642,140,2019-07-14 14:43:03,Twitter for Android,0,9,Aruarun880,1,14,7,14,JUL
7,@JioCare @reliancejio @Airtel_Presence @airtelindia @VodafoneIN @Idea @TRAI  See speed test results of jio 4g netwo… https://t.co/YwLI7a6qAJ,1150415387554508802,140,2019-07-14 14:42:56,Twitter for Android,0,0,shubham_99,0,14,7,14,JUL
8,@JioCare @reliancejio worst service...Slow browsing,1150413911021301760,51,2019-07-14 14:37:04,Twitter for Android,0,0,RamanujSingh_IN,-1,14,7,14,JUL
9,@Krushna_Hindu @reliancejio @Idea @TRAI Not till now but will register if they does not resolve it this time.,1150413530597773312,109,2019-07-14 14:35:34,Twitter Web App,0,0,kmrraghav,0,14,7,14,JUL
10,"@reliancejio @JioCare @smashruwala I'm staying in Gomia, jharkhand 829111. Since last 01 year the net speed of Jio… https://t.co/L6TDt41LjC",1150412682220036096,139,2019-07-14 14:32:11,Twitter for Android,0,0,rohitmishractc,0,14,7,14,JUL
11,"@JioCare @reliancejio

India's fastest 4g network?

Check out my Speedtest result! How fast is your internet? https://t.co/ZtBqhTLlmA",1150412271182475264,133,2019-07-14 14:30:33,Twitter for Android,0,0,lovevediya,1,14,7,14,JUL
12,"Hey frauds, i have not got any assistance till now @reliancejio  @JioCare  #frauds",1150412008891699201,82,2019-07-14 14:29:31,Twitter for iPhone,0,0,Mohit82Mehta,0,14,7,14,JUL
13,"Dear @reliancejio Thank You for your wonderful service , Your store Manager #MohitKalsi in #Kalka Store was brillia… https://t.co/1hhUWBghrp",1150410837431136256,140,2019-07-14 14:24:51,Twitter for iPhone,0,0,OshiSharma,1,14,7,14,JUL
14,"@JioCare there is a major network crisis in Rishikesh, uttarakhand. Kindly look in to the matter. This kind of serv… https://t.co/J4Hx53C87C",1150410655159054336,140,2019-07-14 14:24:08,Twitter for Android,0,0,prateekkalia,1,14,7,14,JUL
15,@reliancejio worst ever call drops near Jalgaon and at Thane,1150409910284197889,60,2019-07-14 14:21:10,Twitter for Android,0,0,RahuulBirla,-1,14,7,14,JUL
16,@hariprasad_ar @reliancejio Me too. Bad bad call drops.,1150409738187956224,55,2019-07-14 14:20:29,Twitter for Android,0,0,KatheleneA,-1,14,7,14,JUL
17,@JioCare @reliancejio  we are in digital India and internet speed of a capital town patna is 0.46 mbps. @DoT_India https://t.co/1mPJslmcCo,1150408383364599808,138,2019-07-14 14:15:06,Twitter for Android,0,0,Stoutdelhi,0,14,7,14,JUL
18,@sarojraj1 @JioCare @reliancejio yes you are right. Same is happening with me also. So many false ring if we're trying to reach someone.,1150407929071190016,136,2019-07-14 14:13:18,Twitter for Android,0,0,imvickyyyyyy,1,14,7,14,JUL
19,"@reliancejio @JioCare @hotstartweets ENJOYING  WATCHING WIMBLEDON FINALS ON HOTSTAR ON JIO 4G CONNECTION.
EXCELLENT VIEWING.",1150407877535944705,124,2019-07-14 14:13:06,Twitter for Android,0,0,leatherbutts,1,14,7,14,JUL
